Date,Open,High,Low,Close,Adj Close,Volume,Price,PE_Ratio,EPS_Growth,ROE,Dividend_Yield,PEG_Ratio,Debt_Equity,PS_Ratio,Current_Ratio,Insider_Ownership
2021-04-23 09:30:00,113.3499984741211,115.30599975585938,113.0625,114.99649810791016,114.05384063720705,29066000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-04-26 09:30:00,115.22599792480467,116.22650146484376,114.86599731445312,115.49649810791016,114.54973602294922,32038000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-04-27 09:30:00,115.88150024414062,115.92250061035156,114.30799865722656,114.54900360107422,113.61002349853516,44386000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-04-28 09:30:00,119.625,121.56900024414062,117.66100311279295,117.9520034790039,116.98512268066406,81106000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-04-29 09:30:00,119.46150207519533,120.20800018310548,118.69249725341795,119.63800048828124,118.65729522705078,41234000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-04-30 09:30:00,118.4010009765625,119.09249877929688,117.3280029296875,117.6750030517578,116.71038818359376,44856000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-03 09:30:00,118.24549865722656,119.07749938964844,116.7750015258789,117.15399932861328,116.19366455078124,28242000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-04 09:30:00,115.67749786376952,116.24949645996094,112.83399963378906,115.34149932861328,114.3960189819336,44818000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-05 09:30:00,116.43150329589844,116.75,115.41400146484376,115.7385025024414,114.78976440429688,26636000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-06 09:30:00,115.31649780273438,116.86750030517578,114.6520004272461,116.86750030517578,115.90950775146484,25190000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-07 09:30:00,118.19450378417967,118.5625,117.30799865722656,117.59649658203124,116.63253021240234,28898000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-10 09:30:00,116.40699768066406,116.5500030517578,114.22699737548828,114.5875015258789,113.64820098876952,30914000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-11 09:30:00,112.15350341796876,114.01399993896484,111.6959991455078,113.50299835205078,112.57258605957033,34186000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-12 09:30:00,111.30950164794922,112.39900207519533,109.68099975585938,110.0124969482422,109.11071014404295,46376000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-13 09:30:00,111.30599975585938,111.97200012207033,110.33599853515624,111.4520034790039,110.53840637207033,33204000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-14 09:30:00,112.927001953125,114.23600006103516,112.5,113.91899871826172,112.98517608642578,31996000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-17 09:30:00,113.17849731445312,114.48899841308594,112.77549743652344,114.4459991455078,113.50786590576172,21598000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-18 09:30:00,115.11750030517578,115.38400268554688,113.1094970703125,113.12349700927734,112.1961898803711,22204000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-19 09:30:00,111.42150115966795,113.74949645996094,111.27200317382812,113.5749969482422,112.6439971923828,23684000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-20 09:30:00,114.5500030517578,115.5999984741211,114.1760025024414,115.34750366210938,114.4019775390625,32352000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-21 09:30:00,115.87049865722656,115.94450378417967,114.46499633789062,114.7064971923828,113.76622009277344,40632000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-24 09:30:00,115.74449920654295,118.27749633789062,115.5979995727539,118.052001953125,117.08429718017578,31832000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-25 09:30:00,118.5999984741211,119.1999969482422,117.75,118.14350128173828,117.17505645751952,22440000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
2021-05-26 09:30:00,118.32599639892578,119.44950103759766,118.322998046875,119.0155029296875,118.03990936279295,21572000,339.8349914550781,31.44,34.45,31.83,0.2446,0.91,12.3,11.74,2.01,
