Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23 09:30:00,257.8800048828125,261.510009765625,257.2699890136719,261.1499938964844,250.58897399902344,21462600
2021-04-26 09:30:00,261.6600036621094,262.44000244140625,260.1700134277344,261.54998779296875,250.9728240966797,19763300
2021-04-27 09:30:00,261.5799865722656,263.19000244140625,260.1199951171875,261.9700012207031,251.37583923339844,31014200
2021-04-28 09:30:00,256.0799865722656,256.5400085449219,252.9499969482422,254.55999755859375,244.26551818847656,46903100
2021-04-29 09:30:00,255.4600067138672,256.1000061035156,249.0,252.50999450683594,242.29840087890625,40589000
2021-04-30 09:30:00,249.74000549316406,253.0800018310547,249.60000610351562,252.17999267578125,241.9817352294922,30945100
2021-05-03 09:30:00,253.39999389648438,254.35000610351562,251.1199951171875,251.86000061035156,241.67466735839844,19626600
2021-05-04 09:30:00,250.97000122070312,251.2100067138672,245.75999450683594,247.7899932861328,237.76930236816406,32756100
2021-05-05 09:30:00,249.05999755859375,249.5,245.82000732421875,246.47000122070312,236.50267028808594,21901300
2021-05-06 09:30:00,246.4499969482422,249.86000061035156,244.69000244140625,249.72999572753906,239.6307830810547,26491100
2021-05-07 09:30:00,252.14999389648438,254.3000030517578,251.1699981689453,252.4600067138672,242.25042724609375,27032900
2021-05-10 09:30:00,250.8699951171875,251.72999572753906,247.1199951171875,247.17999267578125,237.18389892578125,29299900
2021-05-11 09:30:00,244.5500030517578,246.60000610351562,242.57000732421875,246.22999572753906,236.27235412597656,33641600
2021-05-12 09:30:00,242.1699981689453,244.3800048828125,238.07000732421875,239.0,229.3347625732422,36684400
2021-05-13 09:30:00,241.8000030517578,245.60000610351562,241.4199981689453,243.02999877929688,233.20176696777344,29624300
2021-05-14 09:30:00,245.5800018310547,249.17999267578125,245.49000549316406,248.14999389648438,238.1147003173828,23901100
2021-05-17 09:30:00,246.5500030517578,246.58999633789062,243.52000427246094,245.17999267578125,235.26483154296875,24970200
2021-05-18 09:30:00,246.27000427246094,246.41000366210938,242.89999389648438,243.0800018310547,233.24969482421875,20168000
2021-05-19 09:30:00,239.30999755859375,243.22999572753906,238.60000610351562,243.1199951171875,233.82684326171875,25739800
2021-05-20 09:30:00,243.9600067138672,247.9499969482422,243.86000061035156,246.47999572753906,237.05838012695312,21800700
2021-05-21 09:30:00,247.57000732421875,248.3300018310547,244.74000549316406,245.1699981689453,235.7984619140625,21863100
2021-05-24 09:30:00,247.7899932861328,251.16000366210938,247.50999450683594,250.77999877929688,241.19403076171875,21411500
2021-05-25 09:30:00,251.77000427246094,252.75,250.82000732421875,251.72000122070312,242.09811401367188,17704300
2021-05-26 09:30:00,251.42999267578125,252.94000244140625,250.75,251.49000549316406,241.87689208984375,17771600
2021-05-27 09:30:00,251.1699981689453,251.47999572753906,249.25,249.30999755859375,239.7802276611328,24426200
2021-05-28 09:30:00,251.0,252.0800018310547,249.55999755859375,249.67999267578125,240.1360626220703,18270200
2021-06-01 09:30:00,251.22999572753906,251.2899932861328,246.9600067138672,247.39999389648438,237.9432373046875,23213300
