Date,Open,High,Low,Close,Adj Close,Volume,Price,PE_Ratio,EPS_Growth,ROE,Dividend_Yield,PEG_Ratio,Debt_Equity,PS_Ratio,Current_Ratio,Insider_Ownership
2021-04-23 09:30:00,165.9550018310547,168.75,165.4250030517578,167.04400634765625,167.04400634765625,63856000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-04-26 09:30:00,167.39999389648438,171.42250061035156,166.5469970703125,170.4499969482422,170.4499969482422,97614000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-04-27 09:30:00,172.17349243164062,173.0,169.90049743652344,170.8715057373047,170.8715057373047,76542000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-04-28 09:30:00,171.74000549316406,174.49400329589844,171.25,172.9250030517578,172.9250030517578,92638000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-04-29 09:30:00,175.2550048828125,175.72250366210938,171.75,173.5655059814453,173.5655059814453,153648000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-04-30 09:30:00,176.25599670410156,177.6999969482422,173.125,173.37100219726562,173.37100219726562,140186000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-05-03 09:30:00,174.2364959716797,174.33250427246094,168.63499450683594,169.32449340820312,169.32449340820312,117510000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-05-04 09:30:00,167.8094940185547,168.3990020751953,163.60650634765625,165.593505859375,165.593505859375,108788000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-05-05 09:30:00,166.9429931640625,167.73500061035156,163.21800231933594,163.52699279785156,163.52699279785156,74226000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
2021-05-06 09:30:00,163.5,165.72000122070312,162.36000061035156,165.31849670410156,165.31849670410156,88954000,255.15499877929688,35.59,29.66,18.89,,1.2,16.86,3.82,1.05,
