Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23 09:30:00,113.3499984741211,115.30599975585938,113.0625,114.99649810791016,114.05384063720703,29066000
2021-04-26 09:30:00,115.22599792480469,116.22650146484375,114.86599731445312,115.49649810791016,114.54973602294922,32038000
2021-04-27 09:30:00,115.88150024414062,115.92250061035156,114.30799865722656,114.54900360107422,113.61002349853516,44386000
2021-04-28 09:30:00,119.625,121.56900024414062,117.66100311279297,117.9520034790039,116.98512268066406,81106000
2021-04-29 09:30:00,119.46150207519531,120.20800018310547,118.69249725341797,119.63800048828125,118.65729522705078,41234000
2021-04-30 09:30:00,118.4010009765625,119.09249877929688,117.3280029296875,117.67500305175781,116.71038818359375,44856000
2021-05-03 09:30:00,118.24549865722656,119.07749938964844,116.7750015258789,117.15399932861328,116.19366455078125,28242000
2021-05-04 09:30:00,115.67749786376953,116.24949645996094,112.83399963378906,115.34149932861328,114.3960189819336,44818000
2021-05-05 09:30:00,116.43150329589844,116.75,115.41400146484375,115.7385025024414,114.78976440429688,26636000
2021-05-06 09:30:00,115.31649780273438,116.86750030517578,114.6520004272461,116.86750030517578,115.90950775146484,25190000
2021-05-07 09:30:00,118.19450378417969,118.5625,117.30799865722656,117.59649658203125,116.63253021240234,28898000
2021-05-10 09:30:00,116.40699768066406,116.55000305175781,114.22699737548828,114.5875015258789,113.64820098876953,30914000
2021-05-11 09:30:00,112.15350341796875,114.01399993896484,111.69599914550781,113.50299835205078,112.57258605957031,34186000
2021-05-12 09:30:00,111.30950164794922,112.39900207519531,109.68099975585938,110.01249694824219,109.11071014404297,46376000
2021-05-13 09:30:00,111.30599975585938,111.97200012207031,110.33599853515625,111.4520034790039,110.53840637207031,33204000
2021-05-14 09:30:00,112.927001953125,114.23600006103516,112.5,113.91899871826172,112.98517608642578,31996000
2021-05-17 09:30:00,113.17849731445312,114.48899841308594,112.77549743652344,114.44599914550781,113.50786590576172,21598000
2021-05-18 09:30:00,115.11750030517578,115.38400268554688,113.1094970703125,113.12349700927734,112.1961898803711,22204000
2021-05-19 09:30:00,111.42150115966797,113.74949645996094,111.27200317382812,113.57499694824219,112.64399719238281,23684000
2021-05-20 09:30:00,114.55000305175781,115.5999984741211,114.1760025024414,115.34750366210938,114.4019775390625,32352000
2021-05-21 09:30:00,115.87049865722656,115.94450378417969,114.46499633789062,114.70649719238281,113.76622009277344,40632000
2021-05-24 09:30:00,115.74449920654297,118.27749633789062,115.5979995727539,118.052001953125,117.08429718017578,31832000
2021-05-25 09:30:00,118.5999984741211,119.19999694824219,117.75,118.14350128173828,117.17505645751953,22440000
2021-05-26 09:30:00,118.32599639892578,119.44950103759766,118.322998046875,119.0155029296875,118.03990936279297,21572000
2021-05-27 09:30:00,119.45249938964844,119.45249938964844,117.81300354003906,118.13400268554688,117.16563415527344,35224000
2021-05-28 09:30:00,118.72100067138672,118.80349731445312,117.64250183105469,117.84249877929688,116.87651824951172,21482000
2021-06-01 09:30:00,118.72200012207031,119.2854995727539,117.71399688720703,119.05899810791016,118.08303833007812,23354000
2021-06-02 09:30:00,119.4574966430664,119.68199920654297,117.61799621582031,118.52950286865234,117.5578842163086,21158000
2021-06-03 09:30:00,117.2864990234375,117.85099792480469,116.47599792480469,117.37899780273438,116.41682434082031,18696000
2021-06-04 09:30:00,118.4635009765625,119.95149993896484,118.12049865722656,119.67849731445312,118.69746398925781,24458000
2021-06-07 09:30:00,119.47200012207031,120.22550201416016,119.05000305175781,120.11499786376953,119.1303939819336,24120000
2021-06-08 09:30:00,120.60050201416016,120.97599792480469,119.73899841308594,119.9219970703125,118.93896484375,24240000
2021-06-09 09:30:00,120.57150268554688,120.64399719238281,119.84500122070312,120.39700317382812,119.41007995605469,17942000
