Date,Open,High,Low,Close,Adj Close,Volume,Price,PE_Ratio,EPS_Growth,ROE,Dividend_Yield,PEG_Ratio,Debt_Equity,PS_Ratio,Current_Ratio,Insider_Ownership
2021-04-23 09:30:00,14.934249877929688,15.335000038146973,14.900250434875488,15.265250205993652,15.226872444152832,227500000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-04-26 09:30:00,15.1850004196167,15.479000091552734,15.125,15.477999687194824,15.439087867736816,197796000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-04-27 09:30:00,15.578499794006348,15.670499801635742,15.354499816894531,15.381750106811523,15.343079566955566,164572000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-04-28 09:30:00,15.364500045776367,15.53225040435791,15.215499877929688,15.27674961090088,15.238344192504885,209416000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-04-29 09:30:00,15.399999618530272,15.43649959564209,15.071499824523926,15.324749946594238,15.286224365234377,173196000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-04-30 09:30:00,15.174500465393066,15.364999771118164,14.996999740600586,15.009499549865724,14.971765518188477,201912000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-03 09:30:00,15.125,15.246749877929688,14.787500381469728,14.836750030517578,14.799447059631348,203912000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-04 09:30:00,14.637249946594238,14.637499809265137,14.010250091552734,14.35124969482422,14.315168380737305,405324000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-05 09:30:00,14.708999633789062,14.81350040435791,14.387499809265137,14.458499908447266,14.422149658203123,292024000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-06 09:30:00,14.49524974822998,14.571249961853027,14.218000411987305,14.52299976348877,14.486486434936523,193380000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-07 09:30:00,14.808250427246094,14.970749855041504,14.67175006866455,14.812250137329102,14.775012016296388,229328000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-10 09:30:00,14.787249565124512,14.805999755859377,14.25,14.26574993133545,14.229884147644045,268904000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-11 09:30:00,13.824999809265137,14.35474967956543,13.75,14.306249618530272,14.27027988433838,285584000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-12 09:30:00,14.009499549865724,14.260250091552734,13.709250450134276,13.758500099182127,13.72390842437744,303408000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-13 09:30:00,14.0337495803833,14.080750465393066,13.458999633789062,13.665249824523926,13.63089370727539,285404000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-14 09:30:00,13.890000343322754,14.32800006866455,13.748499870300291,14.243000030517578,14.207194328308104,258616000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-17 09:30:00,14.156999588012695,14.169249534606934,13.853500366210938,14.165499687194824,14.129884719848633,216980000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-18 09:30:00,14.267000198364258,14.404250144958496,14.003999710083008,14.01574993133545,13.980511665344238,186256000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-19 09:30:00,13.566499710083008,14.079500198364258,13.54325008392334,14.065750122070312,14.03038501739502,344000000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-20 09:30:00,14.302499771118164,14.68375015258789,14.270500183105469,14.612500190734863,14.575761795043944,321592000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-21 09:30:00,15.16374969482422,15.222000122070312,14.869500160217283,14.99174976348877,14.954056739807127,672992000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-24 09:30:00,15.212499618530272,15.744999885559082,15.175999641418455,15.612000465393066,15.572751998901367,554816000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-25 09:30:00,15.765999794006348,15.818499565124512,15.482500076293944,15.647749900817873,15.608409881591797,435408000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-26 09:30:00,15.73425006866455,15.793749809265137,15.58625030517578,15.699999809265137,15.660527229309082,370440000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-27 09:30:00,15.699749946594238,15.75,15.460000038146973,15.48799991607666,15.449063301086426,581476000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-05-28 09:30:00,15.50100040435791,16.27750015258789,15.50100040435791,16.24449920654297,16.203662872314453,644536000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-01 09:30:00,16.270000457763672,16.38825035095215,15.903249740600586,16.26449966430664,16.22361183166504,472804000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-02 09:30:00,16.25225067138672,16.918750762939453,16.23550033569336,16.778249740600586,16.736072540283203,594168000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-03 09:30:00,16.70075035095215,17.259000778198242,16.58300018310547,16.969749450683594,16.92708396911621,580008000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-04 09:30:00,17.112499237060547,17.660999298095703,17.095500946044922,17.578250885009766,17.534053802490234,617120000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-07 09:30:00,17.571250915527344,17.8125,17.192750930786133,17.618999481201172,17.5747013092041,575756000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-08 09:30:00,17.527250289916992,17.62150001525879,17.250999450683594,17.457000732421875,17.41311264038086,323848000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-09 09:30:00,17.515750885009766,17.575000762939453,17.25575065612793,17.35824966430664,17.318580627441406,381656000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-10 09:30:00,17.350000381469727,17.492000579833984,17.176000595092773,17.424999237060547,17.38517951965332,287772000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-11 09:30:00,17.47949981689453,17.939250946044922,17.443750381469727,17.82525062561035,17.784509658813477,416308000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-14 09:30:00,17.9060001373291,18.039499282836918,17.662750244140625,18.018749237060547,17.97756576538086,321376000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-15 09:30:00,17.915000915527344,18.01625061035156,17.72800064086914,17.78849983215332,17.747844696044922,243032000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-16 09:30:00,17.79075050354004,17.954750061035156,17.58449935913086,17.81024932861328,17.76954460144043,307124000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-17 09:30:00,17.774499893188477,18.834999084472656,17.756250381469727,18.657249450683597,18.61460876464844,809656000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-18 09:30:00,18.78400039672852,19.375,18.583999633789062,18.638750076293945,18.59614944458008,968856000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-21 09:30:00,18.43524932861328,18.536500930786133,17.822750091552734,18.427249908447266,18.385133743286133,672384000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-22 09:30:00,18.47150039672852,18.9637508392334,18.38599967956543,18.886749267578125,18.843578338623047,580144000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-23 09:30:00,19.00774955749512,19.15275001525879,18.90774917602539,19.057249069213867,19.013694763183597,332356000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-24 09:30:00,19.22775077819824,19.420000076293945,19.08824920654297,19.20549964904785,19.16160774230957,320924000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-25 09:30:00,19.280500411987305,19.34550094604492,18.894500732421875,19.0310001373291,18.987504959106445,278364000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-28 09:30:00,19.36124992370605,20.07875061035156,19.319000244140625,19.98500061035156,19.93932342529297,495436000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-29 09:30:00,19.88249969482422,20.0987491607666,19.65699958801269,20.026750564575195,19.980979919433597,367632000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-06-30 09:30:00,19.999250411987305,20.162500381469727,19.863750457763672,20.002500534057617,19.956787109375,326568000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-01 09:30:00,20.125,20.45599937438965,20.018999099731445,20.21199989318848,20.16580390930176,480136000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-02 09:30:00,20.44025039672852,20.505250930786133,20.287750244140625,20.48699951171875,20.44017791748047,342764000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-06 09:30:00,20.737499237060547,20.84199905395508,20.350250244140625,20.69849967956543,20.65119171142578,446708000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-07 09:30:00,20.853500366210938,20.875,20.332000732421875,20.371749877929688,20.3251895904541,418428000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-08 09:30:00,19.85650062561035,20.132999420166016,19.70075035095215,19.90275001525879,19.857261657714844,503300000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-09 09:30:00,19.962499618530277,20.080249786376957,19.754249572753903,20.050249099731445,20.004425048828125,296624000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-12 09:30:00,20.239999771118164,20.53274917602539,20.1877498626709,20.512500762939453,20.46561813354492,321984000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
2021-07-13 09:30:00,20.40049934387207,20.46125030517578,20.11400032043457,20.25,20.20372200012207,290708000,203.1300048828125,41.46,66.67,76.33,0.0197,0.62,6.02,183.43,3.91,
