Date,Open,High,Low,Close,Adj Close,Volume,Price,PE_Ratio,EPS_Growth,ROE,Dividend_Yield,PEG_Ratio,Debt_Equity,PS_Ratio,Current_Ratio,Insider_Ownership
2021-04-23 09:30:00,298.760009765625,302.5899963378906,297.1499938964844,301.1300048828125,298.7853088378906,17536800,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-04-26 09:30:00,303.3399963378906,305.79998779296875,301.5599975585937,303.0400085449219,300.68035888671875,16172600,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-04-27 09:30:00,304.2799987792969,305.3399963378906,301.1099853515625,303.57000732421875,301.206298828125,15309300,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-04-28 09:30:00,307.3599853515625,310.9200134277344,305.3699951171875,307.1000061035156,304.7088317871094,33907200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-04-29 09:30:00,330.1199951171875,331.8099975585937,321.6099853515625,329.510009765625,326.9443054199219,56526800,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-04-30 09:30:00,326.1400146484375,329.82000732421875,324.5,325.0799865722656,322.5487976074219,26332400,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-03 09:30:00,326.1700134277344,328.54998779296875,321.8399963378906,322.5799865722656,320.0682373046875,18719500,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-04 09:30:00,320.0199890136719,322.19000244140625,313.1199951171875,318.3599853515625,315.881103515625,24032600,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-05 09:30:00,318.19000244140625,321.0599975585937,314.489990234375,315.0199890136719,312.567138671875,15577600,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-06 09:30:00,314.5199890136719,320.239990234375,313.2699890136719,320.0199890136719,317.5282592773437,19012200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-07 09:30:00,322.3800048828125,322.94000244140625,318.75,319.0799865722656,316.5954895019531,15916700,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-10 09:30:00,314.3500061035156,314.5799865722656,304.8299865722656,305.9700012207031,303.587646484375,24239200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-11 09:30:00,300.75,306.8399963378906,299.69000244140625,306.5299987792969,304.1431884765625,18920100,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-12 09:30:00,301.1300048828125,304.9599914550781,298.19000244140625,302.54998779296875,300.19415283203125,24645500,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-13 09:30:00,306.0799865722656,308.8599853515625,302.7699890136719,305.260009765625,302.88311767578125,18079200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-14 09:30:00,309.5400085449219,316.8500061035156,309.0799865722656,315.94000244140625,313.4800109863281,19245700,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-17 09:30:00,313.54998779296875,315.67999267578125,311.5799865722656,315.4599914550781,313.0036926269531,15401300,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-18 09:30:00,315.5899963378906,316.5,309.8099975585937,309.9599914550781,307.5465393066406,14522400,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-19 09:30:00,304.19000244140625,314.6600036621094,303.57000732421875,313.5899963378906,311.1483154296875,19106200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-20 09:30:00,313.5799865722656,319.25,313.1600036621094,318.6099853515625,316.129150390625,17320200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-21 09:30:00,319.2900085449219,319.92999267578125,315.8099975585937,316.2300109863281,313.7677307128906,13600900,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-24 09:30:00,318.2099914550781,325.95001220703125,318.0299987792969,324.6300048828125,322.1023254394531,16445400,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-25 09:30:00,327.0799865722656,329.17999267578125,324.79998779296875,327.7900085449219,325.2377319335937,16437000,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-26 09:30:00,328.3500061035156,329.8299865722656,325.82000732421875,327.6600036621094,325.1087341308594,9686900,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-27 09:30:00,328.0,333.7799987792969,326.760009765625,332.75,330.1591186523437,20477700,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-05-28 09:30:00,331.0,332.8699951171875,328.3299865722656,328.7300109863281,326.1703491210937,12037400,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-01 09:30:00,330.1499938964844,331.4200134277344,326.6400146484375,329.1300048828125,326.5672607421875,11765900,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-02 09:30:00,330.3800048828125,331.8699951171875,327.1199951171875,329.1499938964844,326.58709716796875,11654300,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-03 09:30:00,325.7799987792969,327.3800048828125,323.4800109863281,326.0400085449219,323.5013427734375,12610800,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-04 09:30:00,325.8999938964844,332.4599914550781,325.17999267578125,330.3500061035156,327.7778015136719,13289400,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-07 09:30:00,329.4800109863281,337.69000244140625,328.92999267578125,336.5799865722656,333.9592590332031,20136700,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-08 09:30:00,336.70001220703125,338.29998779296875,332.239990234375,333.67999267578125,331.0818176269531,14580500,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-09 09:30:00,335.739990234375,336.79998779296875,330.0,330.25,327.6785583496094,13727900,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-10 09:30:00,330.7900085449219,333.94000244140625,328.54998779296875,332.4599914550781,329.8713073730469,13240200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-11 09:30:00,332.5799865722656,332.8299865722656,328.92999267578125,331.260009765625,328.6806640625,13587900,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-14 09:30:00,331.8999938964844,336.82000732421875,329.8099975585937,336.7699890136719,334.1477966308594,12250800,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-15 09:30:00,336.989990234375,339.9200134277344,335.0299987792969,336.75,334.1278991699219,15795200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-16 09:30:00,336.70001220703125,337.54998779296875,328.7200012207031,331.0799865722656,328.5020446777344,17232200,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-17 09:30:00,330.489990234375,337.9800109863281,330.1499938964844,336.510009765625,333.8898010253906,17794100,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-18 09:30:00,334.5299987792969,336.1499938964844,329.0,329.6600036621094,327.0931396484375,23039500,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-21 09:30:00,331.0899963378906,332.9200134277344,327.6499938964844,332.2900085449219,329.70269775390625,11337500,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-22 09:30:00,332.69000244140625,339.9200134277344,332.6000061035156,339.0299987792969,336.3901672363281,15345300,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-23 09:30:00,339.3500061035156,343.4200134277344,338.20001220703125,340.5899963378906,337.93798828125,14817800,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-24 09:30:00,341.8500061035156,344.8999938964844,341.7900085449219,343.17999267578125,340.5078430175781,12329100,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-25 09:30:00,342.5899963378906,344.1199951171875,339.67999267578125,341.3699951171875,338.7120056152344,14594400,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
2021-06-28 09:30:00,342.4599914550781,358.1400146484375,341.7699890136719,355.6400146484375,352.870849609375,29156100,664.1199951171875,28.27,-1.55,27.83,,,27.04,,2.6,
